id,name,state_id,country_id
1,Adjuntas,1,1
2,Aguada,1,1
3,Aguadilla,1,1
4,Maricao,1,1
5,Anasco,1,1
6,Angeles,1,1
7,Arecibo,1,1
8,Bajadero,1,1
9,Barceloneta,1,1
10,Boqueron,1,1
11,Cabo Rojo,1,1
12,Penuelas,1,1
13,Camuy,1,1
14,Castaner,1,1
15,Rosario,1,1
16,Sabana Grande,1,1
17,Ciales,1,1
18,Utuado,1,1
19,Dorado,1,1
20,Ensenada,1,1
21,Florida,1,1
22,Garrochales,1,1
23,Guanica,1,1
24,Guayanilla,1,1
25,Hatillo,1,1
26,Hormigueros,1,1
27,Isabela,1,1
28,Jayuya,1,1
29,Lajas,1,1
30,Lares,1,1
31,Las Marias,1,1
32,Manati,1,1
33,Moca,1,1
34,Rincon,1,1
35,Quebradillas,1,1
36,Mayaguez,1,1
37,San German,1,1
38,San Sebastian,1,1
39,Morovis,1,1
40,Sabana Hoyos,1,1
41,San Antonio,1,1
42,Vega Alta,1,1
43,Vega Baja,1,1
44,Yauco,1,1
45,Aguas Buenas,1,1
46,Aguirre,1,1
47,Aibonito,1,1
48,Maunabo,1,1
49,Arroyo,1,1
50,Mercedita,1,1
51,Ponce,1,1
52,Naguabo,1,1
53,Naranjito,1,1
54,Orocovis,1,1
55,Patillas,1,1
56,Caguas,1,1
57,Canovanas,1,1
58,Ceiba,1,1
59,Cayey,1,1
60,Fajardo,1,1
61,Cidra,1,1
62,Puerto Real,1,1
63,Punta Santiago,1,1
64,Rio Grande,1,1
65,Salinas,1,1
66,San Lorenzo,1,1
67,Santa Isabel,1,1
68,Vieques,1,1
69,Villalba,1,1
70,Yabucoa,1,1
71,Coamo,1,1
72,Las Piedras,1,1
73,Loiza,1,1
74,Luquillo,1,1
75,Culebra,1,1
76,Juncos,1,1
77,Gurabo,1,1
78,Coto Laurel,1,1
79,Comerio,1,1
80,Corozal,1,1
81,Guayama,1,1
82,La Plata,1,1
83,Humacao,1,1
84,Barranquitas,1,1
85,Juana Diaz,1,1
86,St Thomas,2,1
87,Christiansted,2,1
88,St John,2,1
89,Frederiksted,2,1
90,Kingshill,2,1
91,San Juan,1,1
92,Fort Buchanan,1,1
93,Toa Baja,1,1
94,Sabana Seca,1,1
95,Toa Alta,1,1
96,Bayamon,1,1
97,Catano,1,1
98,Guaynabo,1,1
99,Trujillo Alto,1,1
100,Carolina,1,1
101,Agawam,3,1
102,Amherst,3,1
103,Barre,3,1
104,Belchertown,3,1
105,Blandford,3,1
106,Bondsville,3,1
107,Brimfield,3,1
108,Chester,3,1
109,Chesterfield,3,1
110,Chicopee,3,1
111,Cummington,3,1
112,Easthampton,3,1
113,East Longmeadow,3,1
114,East Otis,3,1
115,Feeding Hills,3,1
116,Gilbertville,3,1
117,Goshen,3,1
118,Granby,3,1
119,Granville,3,1
120,Hadley,3,1
121,Hampden,3,1
122,Hardwick,3,1
123,Hatfield,3,1
124,Haydenville,3,1
125,Holyoke,3,1
126,Huntington,3,1
127,Leeds,3,1
128,Leverett,3,1
129,Ludlow,3,1
130,Monson,3,1
131,Northampton,3,1
132,Florence,3,1
133,North Hatfield,3,1
134,Oakham,3,1
135,Palmer,3,1
136,Plainfield,3,1
137,Russell,3,1
138,Shutesbury,3,1
139,Southampton,3,1
140,South Barre,3,1
141,South Hadley,3,1
142,Southwick,3,1
143,Thorndike,3,1
144,Three Rivers,3,1
145,Wales,3,1
146,Ware,3,1
147,Warren,3,1
148,West Chesterfield,3,1
149,Westfield,3,1
150,West Hatfield,3,1
151,West Springfield,3,1
152,West Warren,3,1
153,Whately,3,1
154,Wheelwright,3,1
155,Wilbraham,3,1
156,Williamsburg,3,1
157,Woronoco,3,1
158,Worthington,3,1
159,Springfield,3,1
160,Longmeadow,3,1
161,Indian Orchard,3,1
162,Pittsfield,3,1
163,Adams,3,1
164,Ashley Falls,3,1
165,Becket,3,1
166,Berkshire,3,1
167,Cheshire,3,1
168,Dalton,3,1
169,Glendale,3,1
170,Great Barrington,3,1
171,Hinsdale,3,1
172,Housatonic,3,1
173,Lanesborough,3,1
174,Lee,3,1
175,Lenox,3,1
176,Lenox Dale,3,1
177,Middlefield,3,1
178,Mill River,3,1
179,Monterey,3,1
180,North Adams,3,1
181,Otis,3,1
